ARG	ID	RESULTNAME	INFO	EINHEIT	LABEL	L/H	DATENTYP	NAME	MUL	DIV	ADD
STAT_0x5B10_WERT	0x5B10	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn1r1_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B11_WERT	0x5B11	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn1r2_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B12_WERT	0x5B12	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn1r3_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B13_WERT	0x5B13	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn2r1_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B14_WERT	0x5B14	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn2r2_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B15_WERT	0x5B15	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn2r3_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B20_WERT	0x5B20	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn3r1_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B21_WERT	0x5B21	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn3r2_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B22_WERT	0x5B22	STAT_SUPERKLOPFEN_WERT	Superklopfen	-	iskn3r3_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B23_WERT	0x5B23	STAT_ZAEHLER_AUSSETZERERKENNUNG_ZYLINDER_1_WERT	Zähler Aussetzerkennung Zylinder 1	-	fzabgzyl_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B25_WERT	0x5B25	STAT_ZAEHLER_AUSSETZERERKENNUNG_ZYLINDER_4_WERT	Zähler Aussetzerkennung Zylinder 4  (4-Zylinder)	-	fzabgzyl_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B31_WERT	0x5B31	STAT_ZAEHLER_AUSSETZERERKENNUNG_ZYLINDER_3_WERT	Zähler Aussetzerkennung Zylinder 3  (4-Zylinder)	-	fzabgzyl_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B32_WERT	0x5B32	STAT_ZAEHLER_AUSSETZERERKENNUNG_ZYLINDER_2_WERT	Zähler Aussetzerkennung Zylinder 2  (4-Zylinder)	-	fzabgzyl_w	-	unsigned integer	-	1,0	1	0,0
STAT_0x5B33_WERT	0x5B33	STAT_DELTA_MOTORDREHMOMENT_WERT	Delta-Motordrehmoment aus Verlustmoment-Adaption	%	dmvad_w	-	signed integer	-	0,0030517578125	1	0,0
